Year,"Adolescent fertility rate (births per 1,000 women ages 15-19)","Agriculture, forestry, and fishing, value added (% of GDP)","Annual freshwater withdrawals, total (% of internal resources)",Births attended by skilled health staff (% of total),CO2 emissions (metric tons per capita),"Contraceptive prevalence, any method (% of married women ages 15-49)",Domestic credit provided by financial sector (% of GDP),Electric power consumption (kWh per capita),Energy use (kg of oil equivalent per capita),Exports of goods and services (% of GDP),"External debt stocks, total (DOD, current US$)","Fertility rate, total (births per woman)","Foreign direct investment, net inflows (BoP, current US$)",Forest area (sq. km),GDP (current US$),GDP growth (annual %),"GNI per capita, Atlas method (current US$)","GNI per capita, PPP (current international $)","GNI, Atlas method (current US$)","GNI, PPP (current international $)",Gross capital formation (% of GDP),High-technology exports (% of manufactured exports),"Immunization, measles (% of children ages 12-23 months)",Imports of goods and services (% of GDP),Income share held by lowest 20%,"Industry (including construction), value added (% of GDP)","Inflation, GDP deflator (annual %)","Life expectancy at birth, total (years)",Merchandise trade (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),"Mortality rate, under-5 (per 1,000 live births)",Net barter terms of trade index (2015 = 100),Net migration,Net official development assistance and official aid received (current US$),"Personal remittances, received (current US$)",Population density (people per sq. km of land area),Population growth (annual %),"Population, total",Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),"Prevalence of HIV, total (% of population ages 15-49)","Prevalence of underweight, weight for age (% of children under 5)","Primary completion rate, total (% of relevant age group)","Revenue, excluding grants (% of GDP)","School enrollment, primary (% gross)","School enrollment, primary and secondary (gross), gender parity index (GPI)","School enrollment, secondary (% gross)",Statistical Capacity Score (Overall Average) (scale 0 - 100),Surface area (sq. km),Tax revenue (% of GDP),Terrestrial and marine protected areas (% of total territorial area),Time required to start a business (days),"Total debt service (% of exports of goods, services and primary income)",Urban population growth (annual %)
2013,90.858,18.61655159,15.55169082,0.0,0.321208738,0.0,0.0,163.5992989,476.2492351,17.79218055,13775500739.0,3.952,1118825000.0,35599.82,61671440481,3.797848393,1130,2780,50624928759,124600000000,22.4049681,4.068780634,94.0,29.67246196,0.0,19.08025911,7.337562234,61.389,36.01991429,1.395396508,71.06121963,50.1,87.65288489,-57630.0,3306840088.0,1304277231,78.70184489,2.409931364,44792368,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,52.22222222,580370.0,0.0,0.0,34.0,4.730758514,4.110202956
2014,86.955,18.34783934,15.55362319,61.8,0.364375326,58.0,0.0,167.4380987,515.5816817,16.47280447,16911742537.0,3.844,820937598.4,35411.96,68285796663,5.020111002,1260,3040,57582713354,139107000000,24.950719,0.0,95.0,29.6976849,0.0,19.0360328,7.635031901,61.816,35.89472657,1.199433367,73.38263833,48.1,88.37758038,-72415.0,2661030029.0,1440846250,80.528276,2.294178016,45831863,0.0,0.0,5.2,11.2,97.2009964,19.56210588,105.7534103,0.0,0.0,54.44444444,580370.0,15.18702127,0.0,32.0,11.36200482,4.001703306
2015,81.426,19.46961478,15.55555556,0.0,0.386120074,64.1,0.0,0.0,0.0,15.1287339,19783760502.0,3.8,619724465.0,35224.1,70120446664,4.967721128,1330,3390,62095754504,158922000000,22.1033982,4.365945999,96.0,25.19865079,6.2,18.8940457,9.238654684,61.892,31.37316011,1.203169408,80.50105901,45.9,100.0,-95981.0,2463560059.0,1569267850,82.31979478,2.20032212,46851488,29.4,36.1,5.0,0.0,99.1434021,19.35154294,103.6615677,0.0,0.0,54.44443333,580370.0,14.83948265,0.0,28.0,8.33004714,3.918168605
2016,76.813,20.03451643,19.47826087,70.2,0.403178475,61.2,0.0,0.0,0.0,13.2497448,21057671043.0,3.724,469533310.7,35519.7,74815143796,4.213517068,1500,3970,71748256950,190213000000,19.34843583,7.586034926,96.0,21.61527477,0.0,18.16215929,5.849628946,62.163,26.46790342,1.247309801,81.39149513,43.8,99.7216504,-29727.0,2188389893.0,1744639175,84.15270408,2.202145562,47894670,0.0,0.0,4.9,13.0,99.67874146,19.06577553,103.2053375,0.0,0.0,55.55553333,580370.0,14.96647273,10.50502138,22.0,11.1736383,3.929292299
2017,72.354,20.89363741,19.47826087,0.0,0.41058151,60.0,0.0,0.0,0.0,12.73665994,26951349499.0,3.643,1346085345.0,35815.3,82036511259,3.837958174,1550,4230,75691962603,207092000000,20.6634949,3.34854923,89.0,23.25839793,0.0,17.50350921,7.581934028,62.481,27.34636037,1.237593934,87.47035459,42.4,104.6033031,-68704.0,2480219971.0,1962273106,86.00368451,2.175708427,48948137,0.0,0.0,4.7,0.0,0.0,21.1458722,0.0,0.0,0.0,57.77776667,580370.0,15.05246413,10.50508289,23.0,14.59744439,3.911179714
2018,71.298,20.31491042,19.47826087,0.0,0.385437968,61.9,0.0,0.0,0.0,12.54197533,31433802016.0,3.58,767761506.7,36110.9,92202979941,5.647946407,1730,4500,86589036331,224949000000,19.37598625,3.612961566,89.0,21.87277784,0.0,17.31314613,4.215028415,62.676,25.4113262,1.207385425,99.09540718,40.8,98.36794031,-115434.0,2491010010.0,2720366061,87.76980005,2.032734005,49953304,0.0,0.0,4.5,0.0,0.0,18.67893421,0.0,0.0,0.0,52.22223333,580370.0,14.36127892,10.50508289,23.0,23.69950627,3.779308361
2019,69.578,20.86116381,19.47826087,0.0,0.382362033,59.7,0.0,0.0,0.0,11.42799666,34968821161.0,3.469,469940266.8,36110.9,100378000000,5.114158858,1890,4720,96154460826,240474000000,19.34183437,4.592515223,89.0,20.33147006,0.0,16.93054523,4.275234239,62.943,23.40542549,1.112571154,107.0734925,39.4,99.09856278,-61946.0,3171919922.0,2838192215,89.52357944,1.978456948,50951450,0.0,0.0,4.4,0.0,0.0,19.09780507,77.31608582,0.0,0.0,57.7778,580370.0,15.10010935,10.50509269,23.0,38.43820309,3.727770713
2020,64.939,22.70272616,19.47826087,0.0,0.374079219,65.1,0.0,0.0,0.0,9.640399923,38035617554.0,3.397,426305189.4,36110.9,100658000000,-0.272766327,1900,4670,98655214309,242638000000,19.65158977,5.111708401,88.0,17.59594944,7.3,17.40028763,4.948852833,62.675,21.32876219,1.108334514,118.1263492,38.6,99.32249611,-17106.0,3989949951.0,3107932253,91.34093545,2.009700111,51985780,35.0,0.0,4.2,0.0,0.0,17.6588131,0.0,0.0,0.0,57.7778,580370.0,14.29982263,10.54784525,0.0,29.05842452,3.768242363
2021,64.185,21.4770751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.77418122,41201479489.0,3.335,463348935.7,36110.9,109704000000,7.590489473,2080,5150,110027000000,272928000000,20.39123813,3.127340717,89.0,19.91510071,7.2,17.15243578,4.330747559,61.427,23.97185305,1.070919602,122.7902388,37.2,92.15516468,-52549.0,3142899902.0,3770089639,93.13282145,1.942761283,53005614,36.1,0.0,4.0,0.0,0.0,18.76227486,0.0,0.0,0.0,0.0,580370.0,13.26486486,10.54784525,0.0,20.60648726,3.706016741
2022,0.0,21.16571691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.21524288,0.0,0.0,393583092.1,0.0,113420000000,4.846634856,2170,5680,117313000000,306630000000,19.16020239,0.0,0.0,21.51430769,0.0,17.65622358,6.008764133,0.0,25.67095565,1.001200923,121.6735548,0.0,0.0,0.0,0.0,4059710201,0.0,1.909510311,54027487,0.0,0.0,0.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.34884975,0.0,0.0,3.680144053
