date,position,song,artist,popularity
2023-04-16,1,Tattoo,Loreen,84
2023-04-16,2,Queen of Kings,Alessandra,80
2023-04-16,3,Due Vite,Marco Mengoni,79
2023-04-16,4,Cha Cha Cha,Käärijä,74
2023-04-16,5,I Wrote A Song,Mae Muller,71
2023-04-16,6,Évidemment,La Zarra,69
2023-04-16,7,Unicorn,Noa Kirel,69
2023-04-16,8,Solo,BLANKA,68
2023-04-16,9,Burning Daylight,Mia Nicolai,68
2023-04-16,10,Who the Hell Is Edgar?,TEYA,67
2023-04-16,11,My Sister's Crown,Vesna,67
2023-04-16,12,Future Lover,Brunette,62
2023-04-16,13,EAEA,Blanca Paloma,62
2023-04-16,14,Because Of You,Gustaph,62
2023-04-16,15,Carpe Diem,Joker Out,61
2023-04-16,16,Samo mi se spava,Luke Black,61
2023-04-16,17,Watergun,Remo Forrer,61
2023-04-16,18,Heart of Steel - Eurovision Version,TVORCHI,60
2023-04-16,19,Soarele si Luna,Pasha Parfeni,60
2023-04-16,20,Ai Coração,Various Artists,60
2023-04-16,21,Breaking My Heart,Reiley,60
2023-04-16,22,Break a Broken Heart,Andrew Lambrou,60
2023-04-16,23,Bridges,ALIKA,59
2023-04-16,24,Promise,Voyager,59
2023-04-16,25,POWER,Diljá,58
2023-04-16,26,Aijā,Sudden Lights,58
2023-04-16,27,Mama ŠČ!,Let 3,58
2023-04-16,28,Dance (Our Own Party),The Busker,57
2023-04-16,29,We Are One,Wild Youth,57
2023-04-16,30,Echo - Eurovision 2023 - Georgia,Iru,56
2023-04-16,31,Blood & Glitter,Lord Of The Lost,56
2023-04-16,32,What They Say,Victor Vernicos,56
2023-04-16,33,Stay,Monika Linkyte,55
2023-04-16,34,D.G.T (Off And On),Theodor Andrei,55
2023-04-16,35,Tell Me More,TuralTuranX,54
2023-04-16,36,Duje (Fest 61-live version),Albina dhe familja Kelmendi,52
2023-04-16,37,Like an Animal,Piqued Jacks,45
